日期,股票代码,名称,涨跌幅
2013/3/8,'399300,沪深300,-0.4792
2013/3/7,'399300,沪深300,-1.1593
2013/3/6,'399300,沪深300,1.0445
2013/3/5,'399300,沪深300,3.0283
2013/3/4,'399300,沪深300,-4.6133
2013/3/1,'399300,沪深300,-0.168
2013/2/28,'399300,沪深300,3.0312
2013/2/27,'399300,沪深300,1.0548
2013/2/26,'399300,沪深300,-1.4344
2013/2/25,'399300,沪深300,0.3218
2013/2/22,'399300,沪深300,-0.5342
2013/2/21,'399300,沪深300,-3.4073
2013/2/20,'399300,沪深300,0.6341
2013/2/19,'399300,沪深300,-1.8946
2013/2/18,'399300,沪深300,-1.2358
2013/2/8,'399300,沪深300,0.4295
2013/2/7,'399300,沪深300,-0.5755
2013/2/6,'399300,沪深300,0.1504
2013/2/5,'399300,沪深300,0.8605
2013/2/4,'399300,沪深300,0.1715
2013/2/1,'399300,沪深300,2.1007
2013/1/31,'399300,沪深300,-0.068
2013/1/30,'399300,沪深300,0.48
2013/1/29,'399300,沪深300,0.9051
2013/1/28,'399300,沪深300,3.1182
2013/1/25,'399300,沪深300,-0.429
2013/1/24,'399300,沪深300,-0.9473
2013/1/23,'399300,沪深300,0.4066
2013/1/22,'399300,沪深300,-0.5362
2013/1/21,'399300,沪深300,0.5956
2013/1/18,'399300,沪深300,1.672
2013/1/17,'399300,沪深300,-0.9442
2013/1/16,'399300,沪深300,-0.7228
2013/1/15,'399300,沪深300,0.7034
2013/1/14,'399300,沪深300,3.8053
2013/1/11,'399300,沪深300,-1.8707
2013/1/10,'399300,沪深300,0.1759
2013/1/9,'399300,沪深300,0.0315
2013/1/8,'399300,沪深300,-0.4202
2013/1/7,'399300,沪深300,0.4586
2013/1/4,'399300,沪深300,0.0577
2012/12/31,'399300,沪深300,1.7299
2012/12/28,'399300,沪深300,1.4503
2012/12/27,'399300,沪深300,-0.53
2012/12/26,'399300,沪深300,0.3767
2012/12/25,'399300,沪深300,2.8212
2012/12/24,'399300,沪深300,0.3885
2012/12/21,'399300,沪深300,-0.5373
2012/12/20,'399300,沪深300,0.5781
2012/12/19,'399300,沪深300,0.1262
2012/12/18,'399300,沪深300,0.06
2012/12/17,'399300,沪深300,0.4599
2012/12/14,'399300,沪深300,5.049
2012/12/13,'399300,沪深300,-1.1082
2012/12/12,'399300,沪深300,0.4103
2012/12/11,'399300,沪深300,-0.5524
2012/12/10,'399300,沪深300,1.0811
2012/12/7,'399300,沪深300,1.9584
2012/12/6,'399300,沪深300,-0.1937
2012/12/5,'399300,沪深300,3.5846
2012/12/4,'399300,沪深300,1.0728
2012/12/3,'399300,沪深300,-1.44
2012/11/30,'399300,沪深300,1.1337
2012/11/29,'399300,沪深300,-0.6333
2012/11/28,'399300,沪深300,-0.9986
2012/11/27,'399300,沪深300,-1.1473
2012/11/26,'399300,沪深300,-0.7788
2012/11/23,'399300,沪深300,0.6948
2012/11/22,'399300,沪深300,-0.7905
2012/11/21,'399300,沪深300,1.3865
2012/11/20,'399300,沪深300,-0.4646
2012/11/19,'399300,沪深300,-0.1036
2012/11/16,'399300,沪深300,-0.7468
2012/11/15,'399300,沪深300,-1.3264
2012/11/14,'399300,沪深300,0.4823
2012/11/13,'399300,沪深300,-1.75
2012/11/12,'399300,沪深300,0.4875
2012/11/9,'399300,沪深300,-0.1996
2012/11/8,'399300,沪深300,-1.8404
